gu,rendnum,lon,lat,거치대수
마포구,101,126.905754,37.549561,5
마포구,102,126.910454,37.556,20
마포구,103,126.910835,37.554951,14
마포구,104,126.914986,37.550629,13
마포구,105,126.914825,37.550007,5
마포구,106,126.912827,37.548645,10
마포구,107,126.918503,37.55751,5
마포구,108,126.918617,37.552746,10
마포구,109,126.919983,37.547691,10
서대문구,110,126.917847,37.568199,20
마포구,111,126.923531,37.547871,10
마포구,112,126.923203,37.549202,10
마포구,113,126.923805,37.557499,25
마포구,114,126.924423,37.55706,15
서대문구,115,126.927116,37.558933,15
서대문구,116,126.927071,37.564541,5
서대문구,117,126.94133,37.59116,25
마포구,118,126.931763,37.547733,10
마포구,119,126.931053,37.545284,10
마포구,120,126.934113,37.545242,5
마포구,121,126.933174,37.549767,15
마포구,122,126.939293,37.547249,10
서대문구,123,126.947388,37.59433,20
마포구,124,126.936989,37.55114,20
마포구,125,126.93895,37.549484,15
마포구,126,126.943848,37.550411,20
마포구,127,126.936951,37.55352,15
서대문구,128,126.93634,37.555496,20
마포구,129,126.937569,37.555054,15
마포구,130,126.936157,37.554859,10
서대문구,131,126.911102,37.584171,23
서대문구,132,126.935883,37.556789,15
서대문구,133,126.908997,37.582031,15
서대문구,134,126.93808,37.557892,8
서대문구,135,126.939178,37.559101,10
마포구,136,126.942299,37.556004,7
서대문구,137,126.943184,37.556812,10
서대문구,138,126.934525,37.559177,10
서대문구,139,126.934479,37.559795,13
서대문구,140,126.940735,37.560009,20
서대문구,141,126.932648,37.562382,20
마포구,142,126.955666,37.557201,11
마포구,143,126.950218,37.544579,9
마포구,144,126.951324,37.543579,10
마포구,145,126.951637,37.54425,9
마포구,146,126.945824,37.539936,12
마포구,147,126.945915,37.539272,7
마포구,148,126.943024,37.542347,11
마포구,150,126.934341,37.552956,15
마포구,151,126.905548,37.555687,10
마포구,152,126.898018,37.55661,30
마포구,153,126.912613,37.564697,12
마포구,154,126.905495,37.560909,13
마포구,155,126.914513,37.56855,15
마포구,156,126.955147,37.549904,10
마포구,157,126.956688,37.553001,12
서대문구,158,126.96048,37.571259,15
서대문구,159,126.946342,37.556953,7
서대문구,160,126.959381,37.557549,20
서대문구,161,126.950645,37.582245,8
서대문구,162,126.946243,37.565269,15
서대문구,163,126.924965,37.583698,7
서대문구,164,126.910049,37.574478,10
서대문구,165,126.91394,37.575138,20
서대문구,166,126.919678,37.573277,20
서대문구,167,126.91713,37.57946,15
서대문구,168,126.918053,37.574821,20
서대문구,169,126.907799,37.573002,15
서대문구,170,126.922447,37.573112,10
서대문구,171,126.969254,37.562134,10
서대문구,172,126.935722,37.573254,8
서대문구,173,126.966148,37.564777,8
서대문구,174,126.923447,37.580589,10
서대문구,175,126.930817,37.578072,20
서대문구,176,126.924026,37.581097,10
서대문구,177,126.909805,37.577675,8
서대문구,178,126.906349,37.579876,10
서대문구,179,126.914795,37.569122,15
서대문구,180,126.962463,37.559967,10
마포구,181,126.902672,37.551342,15
마포구,182,126.902847,37.551567,10
마포구,183,126.919395,37.565166,15
마포구,184,126.907753,37.558949,9
마포구,185,126.934296,37.542545,15
마포구,186,126.898209,37.563965,40
서대문구,188,126.935127,37.586388,10
서대문구,191,126.910736,37.578892,10
서대문구,192,126.923065,37.572227,10
서대문구,194,126.902969,37.577316,10
서대문구,195,126.917809,37.567657,10
서대문구,196,126.925896,37.56612,10
서대문구,198,126.963776,37.562138,15
